Date,Year,City,State,Region,Customer,Flavor,Transaction_Type,Quantity,Unit_Price,Sales,Profits,Stock_Change,Reorder_Point,Stock_Balance,Reorder_Alert
2024-01-06 12:59:46.317263452,2024,Delhi,Delhi,West,ShopEase,Masala Wafers,Inbound,77,10.41,801.27,181.58,77,401,499,NO
2024-01-06 15:19:46.077215443,2024,Delhi,Delhi,South,QuickBuy,Masala Wafers,Inbound,53,13.5,715.29,78.71,53,220,474,NO
2024-01-06 17:39:45.837167433,2024,Hyderabad,Telangana,North,ShopEase,Aloo Bhujia Wafers,Outbound,43,9.8,421.46,93.45,-43,198,523,NO
2024-01-06 19:59:45.597119423,2024,Pune,Maharashtra,East,SuperStore,Cheese Wafers,Outbound,86,8.73,750.96,98.02,-86,265,851,NO
2024-01-06 22:19:45.357071414,2024,Delhi,Delhi,East,ShopEase,Cream & Onion Wafers,Outbound,51,9.93,506.56,134.8,-51,424,56,YES
2024-01-07 00:39:45.117023404,2024,Surat,Gujarat,West,QuickBuy,Cream & Onion Wafers,Outbound,146,10.79,1575.53,269.56,-146,418,589,NO
2024-01-07 02:59:44.876975395,2024,Hyderabad,Telangana,West,QuickBuy,Black Pepper Wafers,Inbound,115,6.89,792.44,123.87,115,340,585,NO
2024-01-07 05:19:44.636927385,2024,Surat,Gujarat,South,QuickBuy,Tomato Wafers,Inbound,104,14.01,1456.94,390.72,104,149,232,NO
2024-01-07 07:39:44.396879375,2024,Hyderabad,Telangana,North,SuperStore,Aloo Bhujia Wafers,Return,144,11.74,1690.83,186.04,144,367,790,NO
2024-01-07 09:59:44.156831366,2024,Pune,Maharashtra,West,RetailMart,Cheese Wafers,Outbound,77,11.33,872.62,156.48,-77,424,29,YES
2024-01-07 12:19:43.916783356,2024,Chennai,Tamil Nadu,West,BigMart,Aloo Bhujia Wafers,Outbound,156,5.99,935.21,162.73,-156,172,366,NO
2024-01-07 14:39:43.676735347,2024,Bangalore,Karnataka,South,ShopEase,Salted Wafers,Inbound,168,11.04,1855.01,291.16,168,399,825,NO
2024-01-07 16:59:43.436687337,2024,Kolkata,West Bengal,North,RetailMart,Mint Masala Wafers,Outbound,137,6.21,850.72,240.2,-137,151,606,NO
2024-01-07 19:19:43.196639327,2024,Chennai,Tamil Nadu,North,QuickBuy,Masala Wafers,Inbound,172,5.79,995.36,249.02,172,364,819,NO
2024-01-07 21:39:42.956591318,2024,Jaipur,Rajasthan,West,RetailMart,Mint Masala Wafers,Outbound,194,10.27,1992.98,224.78,-194,326,55,YES
2024-01-07 23:59:42.716543308,2024,Surat,Gujarat,North,RetailMart,Cream & Onion Wafers,Outbound,94,9.03,848.62,206.16,-94,292,9,YES
2024-01-08 02:19:42.476495299,2024,Jaipur,Rajasthan,North,SuperStore,Masala Wafers,Outbound,198,10.89,2155.84,442.94,-198,473,914,NO
2024-01-08 04:39:42.236447289,2024,Chennai,Tamil Nadu,North,QuickBuy,Masala Wafers,Inbound,168,5.89,989.89,277.34,168,338,146,YES
2024-01-08 06:59:41.996399279,2024,Hyderabad,Telangana,East,QuickBuy,Chilli Wafers,Inbound,92,9.31,856.5,139.26,92,109,363,NO
2024-01-08 09:19:41.756351270,2024,Kolkata,West Bengal,North,ShopEase,Tomato Wafers,Inbound,104,6.75,701.78,150.77,104,401,598,NO
2024-01-08 11:39:41.516303260,2024,Kolkata,West Bengal,East,ShopEase,Tomato Wafers,Outbound,190,14.87,2825.49,565.52,-190,458,252,YES
2024-01-08 13:59:41.276255251,2024,Ahmedabad,Gujarat,North,ShopEase,Aloo Bhujia Wafers,Inbound,41,10.61,435.07,86.11,41,327,698,NO
2024-01-08 16:19:41.036207241,2024,Kolkata,West Bengal,North,ShopEase,Cheese Wafers,Outbound,75,11.87,890.58,170.3,-75,392,939,NO
2024-01-08 18:39:40.796159231,2024,Bangalore,Karnataka,North,RetailMart,Black Pepper Wafers,Outbound,196,8.25,1617.82,228.32,-196,151,744,NO
2024-01-08 20:59:40.556111222,2024,Kolkata,West Bengal,West,RetailMart,Cheese Wafers,Outbound,125,5.95,743.42,186.7,-125,339,252,YES
2024-01-08 23:19:40.316063212,2024,Chennai,Tamil Nadu,West,ShopEase,Masala Wafers,Outbound,147,14.76,2169.53,412.79,-147,198,442,NO
2024-01-09 01:39:40.076015203,2024,Ahmedabad,Gujarat,East,ShopEase,Mint Masala Wafers,Outbound,139,7.86,1092.9,318.8,-139,180,735,NO
2024-01-09 03:59:39.835967193,2024,Chennai,Tamil Nadu,North,ShopEase,Aloo Bhujia Wafers,Outbound,69,9.24,637.43,96.99,-69,112,339,NO
2024-01-09 06:19:39.595919183,2024,Chennai,Tamil Nadu,East,BigMart,Masala Wafers,Inbound,26,11.5,298.96,70.72,26,489,515,NO
2024-01-09 08:39:39.355871174,2024,Mumbai,Maharashtra,North,ShopEase,Masala Wafers,Outbound,105,5.25,550.93,158.75,-105,456,352,YES
2024-01-09 10:59:39.115823164,2024,Ahmedabad,Gujarat,South,BigMart,Cream & Onion Wafers,Outbound,153,13.1,2004.7,466.48,-153,227,623,NO
2024-01-09 13:19:38.875775155,2024,Chennai,Tamil Nadu,East,ShopEase,Mint Masala Wafers,Inbound,25,10.37,259.14,71.07,25,403,704,NO
2024-01-09 15:39:38.635727145,2024,Mumbai,Maharashtra,West,QuickBuy,Cheese Wafers,Outbound,55,7.78,428.02,113.64,-55,110,652,NO
2024-01-09 17:59:38.395679135,2024,Mumbai,Maharashtra,South,SuperStore,Cheese Wafers,Outbound,176,5.62,988.43,170.03,-176,180,322,NO
2024-01-09 20:19:38.155631126,2024,Ahmedabad,Gujarat,West,RetailMart,Black Pepper Wafers,Outbound,168,6.62,1113.0,244.89,-168,360,139,YES
2024-01-09 22:39:37.915583116,2024,Jaipur,Rajasthan,South,QuickBuy,Cream & Onion Wafers,Inbound,116,13.95,1618.24,212.4,116,105,860,NO
2024-01-10 00:59:37.675535107,2024,Hyderabad,Telangana,South,SuperStore,Aloo Bhujia Wafers,Outbound,97,11.86,1150.44,238.26,-97,472,950,NO
2024-01-10 03:19:37.435487097,2024,Bangalore,Karnataka,South,BigMart,Cream & Onion Wafers,Inbound,138,7.5,1034.86,151.18,138,321,444,NO
2024-01-10 05:39:37.195439087,2024,Hyderabad,Telangana,East,RetailMart,Mint Masala Wafers,Outbound,148,5.66,837.09,208.22,-148,397,94,YES
2024-01-10 07:59:36.955391078,2024,Kolkata,West Bengal,East,BigMart,Tomato Wafers,Inbound,128,11.91,1523.99,313.35,128,180,552,NO
2024-01-10 10:19:36.715343068,2024,Bangalore,Karnataka,West,BigMart,Chilli Wafers,Outbound,94,10.72,1008.06,183.71,-94,102,419,NO
2024-01-10 12:39:36.475295059,2024,Kolkata,West Bengal,East,RetailMart,Salted Wafers,Inbound,13,9.05,117.59,18.08,13,159,513,NO
2024-01-10 14:59:36.235247049,2024,Chennai,Tamil Nadu,West,SuperStore,Black Pepper Wafers,Inbound,80,8.64,690.89,207.09,80,320,789,NO
2024-01-10 17:19:35.995199039,2024,Surat,Gujarat,North,RetailMart,Black Pepper Wafers,Inbound,163,7.17,1168.41,133.6,163,448,149,YES
2024-01-10 19:39:35.755151030,2024,Ahmedabad,Gujarat,West,ShopEase,Masala Wafers,Inbound,120,11.7,1403.53,152.58,120,148,552,NO
2024-01-10 21:59:35.515103020,2024,Bangalore,Karnataka,West,BigMart,Cheese Wafers,Outbound,59,14.71,867.69,124.47,-59,327,350,NO
2024-01-11 00:19:35.275055011,2024,Bangalore,Karnataka,East,ShopEase,Cream & Onion Wafers,Outbound,149,6.76,1006.82,296.22,-149,389,115,YES
2024-01-11 02:39:35.035007001,2024,Chennai,Tamil Nadu,West,RetailMart,Aloo Bhujia Wafers,Inbound,104,10.97,1141.0,337.56,104,392,631,NO
2024-01-11 04:59:34.794958991,2024,Jaipur,Rajasthan,East,RetailMart,Masala Wafers,Inbound,101,9.24,933.43,215.61,101,397,236,YES
2024-01-11 07:19:34.554910982,2024,Mumbai,Maharashtra,West,SuperStore,Tomato Wafers,Inbound,74,9.47,700.55,193.37,74,292,269,YES
2024-01-11 09:39:34.314862972,2024,Chennai,Tamil Nadu,North,BigMart,Salted Wafers,Outbound,56,7.54,422.32,60.3,-56,356,860,NO
2024-01-11 11:59:34.074814963,2024,Delhi,Delhi,East,QuickBuy,Cheese Wafers,Inbound,190,13.25,2517.76,741.25,190,487,290,YES
2024-01-11 14:19:33.834766953,2024,Mumbai,Maharashtra,East,RetailMart,Tomato Wafers,Inbound,115,9.85,1133.04,145.66,115,202,433,NO
2024-01-11 16:39:33.594718943,2024,Ahmedabad,Gujarat,North,QuickBuy,Cream & Onion Wafers,Inbound,139,10.43,1450.33,174.37,139,497,8,YES
2024-01-11 18:59:33.354670934,2024,Mumbai,Maharashtra,East,BigMart,Cream & Onion Wafers,Inbound,115,8.05,925.48,113.32,115,465,750,NO
2024-01-11 21:19:33.114622924,2024,Jaipur,Rajasthan,West,ShopEase,Chilli Wafers,Inbound,33,6.82,225.0,48.29,33,245,629,NO
2024-01-11 23:39:32.874574915,2024,Mumbai,Maharashtra,South,BigMart,Black Pepper Wafers,Inbound,13,5.86,76.17,19.51,13,389,863,NO
2024-01-12 01:59:32.634526905,2024,Ahmedabad,Gujarat,East,SuperStore,Black Pepper Wafers,Outbound,117,12.14,1420.52,246.22,-117,356,826,NO
2024-01-12 04:19:32.394478895,2024,Jaipur,Rajasthan,South,QuickBuy,Mint Masala Wafers,Outbound,28,6.96,194.95,57.62,-28,408,823,NO
2024-01-12 06:39:32.154430886,2024,Hyderabad,Telangana,West,QuickBuy,Tomato Wafers,Inbound,163,11.9,1939.82,362.52,163,377,474,NO
2024-01-12 08:59:31.914382876,2024,Bangalore,Karnataka,North,ShopEase,Cheese Wafers,Outbound,49,8.9,436.28,56.76,-49,288,521,NO
2024-01-12 11:19:31.674334867,2024,Bangalore,Karnataka,East,ShopEase,Chilli Wafers,Inbound,59,9.16,540.31,104.38,59,277,536,NO
2024-01-12 13:39:31.434286857,2024,Kolkata,West Bengal,South,RetailMart,Chilli Wafers,Outbound,180,9.69,1744.52,411.37,-180,115,684,NO
2024-01-12 15:59:31.194238847,2024,Hyderabad,Telangana,North,BigMart,Mint Masala Wafers,Inbound,84,8.68,728.88,194.21,84,474,736,NO
2024-01-12 18:19:30.954190838,2024,Hyderabad,Telangana,North,SuperStore,Cheese Wafers,Outbound,21,6.01,126.13,24.19,-21,185,10,YES
2024-01-12 20:39:30.714142828,2024,Mumbai,Maharashtra,East,RetailMart,Cheese Wafers,Outbound,36,8.1,291.47,63.75,-36,347,612,NO
2024-01-12 22:59:30.474094819,2024,Bangalore,Karnataka,South,BigMart,Salted Wafers,Inbound,122,11.64,1419.76,217.89,122,316,776,NO
2024-01-13 01:19:30.234046809,2024,Ahmedabad,Gujarat,East,ShopEase,Salted Wafers,Outbound,191,11.66,2226.65,510.31,-191,141,902,NO
2024-01-13 03:39:29.993998799,2024,Pune,Maharashtra,West,SuperStore,Chilli Wafers,Inbound,58,7.86,456.01,135.52,58,293,326,NO
2024-01-13 05:59:29.753950790,2024,Pune,Maharashtra,North,ShopEase,Cheese Wafers,Outbound,153,9.6,1468.96,161.31,-153,426,929,NO
2024-01-13 08:19:29.513902780,2024,Jaipur,Rajasthan,South,ShopEase,Chilli Wafers,Inbound,139,6.93,963.89,267.29,139,472,594,NO
2024-01-13 10:39:29.273854771,2024,Bangalore,Karnataka,East,QuickBuy,Aloo Bhujia Wafers,Inbound,69,7.1,490.16,104.14,69,262,275,NO
2024-01-13 12:59:29.033806761,2024,Bangalore,Karnataka,North,BigMart,Mint Masala Wafers,Outbound,191,5.23,999.02,150.27,-191,375,369,YES
2024-01-13 15:19:28.793758751,2024,Pune,Maharashtra,East,RetailMart,Black Pepper Wafers,Inbound,39,13.97,544.73,158.5,39,463,489,NO
2024-01-13 17:39:28.553710742,2024,Bangalore,Karnataka,South,QuickBuy,Black Pepper Wafers,Inbound,93,7.11,660.96,129.99,93,229,344,NO
2024-01-13 19:59:28.313662732,2024,Mumbai,Maharashtra,West,BigMart,Chilli Wafers,Inbound,175,7.28,1273.18,211.78,175,362,772,NO
2024-01-13 22:19:28.073614723,2024,Delhi,Delhi,West,BigMart,Chilli Wafers,Outbound,37,7.8,288.45,39.32,-37,276,367,NO
2024-01-14 00:39:27.833566713,2024,Surat,Gujarat,West,BigMart,Salted Wafers,Inbound,34,6.27,213.32,31.76,34,364,732,NO
2024-01-14 02:59:27.593518703,2024,Hyderabad,Telangana,East,SuperStore,Black Pepper Wafers,Inbound,105,11.39,1196.23,318.88,105,126,310,NO
2024-01-14 05:19:27.353470694,2024,Kolkata,West Bengal,North,QuickBuy,Cheese Wafers,Outbound,134,5.75,770.69,171.77,-134,485,730,NO
2024-01-14 07:39:27.113422684,2024,Jaipur,Rajasthan,West,RetailMart,Black Pepper Wafers,Inbound,19,6.34,120.5,34.06,19,184,600,NO
2024-01-14 09:59:26.873374675,2024,Delhi,Delhi,West,QuickBuy,Chilli Wafers,Inbound,197,11.45,2255.17,330.14,197,295,484,NO
2024-01-14 12:19:26.633326665,2024,Pune,Maharashtra,West,ShopEase,Mint Masala Wafers,Inbound,51,8.4,428.23,53.2,51,415,14,YES
2024-01-14 14:39:26.393278655,2024,Hyderabad,Telangana,West,BigMart,Tomato Wafers,Inbound,49,12.08,591.89,59.91,49,342,757,NO
2024-01-14 16:59:26.153230646,2024,Bangalore,Karnataka,South,ShopEase,Mint Masala Wafers,Inbound,86,10.57,909.39,183.31,86,467,687,NO
2024-01-14 19:19:25.913182636,2024,Kolkata,West Bengal,South,QuickBuy,Black Pepper Wafers,Outbound,114,7.56,861.86,258.27,-114,441,3,YES
2024-01-14 21:39:25.673134627,2024,Bangalore,Karnataka,North,RetailMart,Salted Wafers,Inbound,127,11.51,1461.55,349.3,127,276,845,NO
2024-01-14 23:59:25.433086617,2024,Ahmedabad,Gujarat,South,ShopEase,Tomato Wafers,Inbound,51,6.16,314.3,50.82,51,229,375,NO
2024-01-15 02:19:25.193038607,2024,Ahmedabad,Gujarat,South,ShopEase,Cream & Onion Wafers,Inbound,56,10.36,580.39,159.82,56,244,368,NO
2024-01-15 04:39:24.952990598,2024,Kolkata,West Bengal,South,SuperStore,Aloo Bhujia Wafers,Inbound,174,9.37,1630.64,418.01,174,182,464,NO
2024-01-15 06:59:24.712942588,2024,Kolkata,West Bengal,East,QuickBuy,Chilli Wafers,Outbound,31,7.68,238.04,24.54,-31,459,532,NO
2024-01-15 09:19:24.472894579,2024,Pune,Maharashtra,South,ShopEase,Black Pepper Wafers,Inbound,194,11.04,2141.77,564.08,194,187,719,NO
2024-01-15 11:39:24.232846569,2024,Kolkata,West Bengal,East,QuickBuy,Cheese Wafers,Inbound,116,13.71,1590.75,254.69,116,119,985,NO
2024-01-15 13:59:23.992798559,2024,Mumbai,Maharashtra,East,RetailMart,Tomato Wafers,Inbound,36,14.99,539.61,70.11,36,329,136,YES
2024-01-15 16:19:23.752750550,2024,Bangalore,Karnataka,South,ShopEase,Cheese Wafers,Outbound,50,11.08,553.88,80.46,-50,225,833,NO
2024-01-15 18:39:23.512702540,2024,Delhi,Delhi,East,RetailMart,Black Pepper Wafers,Inbound,89,9.05,805.19,155.98,89,453,362,YES
2024-01-15 20:59:23.272654531,2024,Chennai,Tamil Nadu,West,ShopEase,Aloo Bhujia Wafers,Inbound,171,7.25,1240.1,229.39,171,150,974,NO
2024-01-15 23:19:23.032606521,2024,Kolkata,West Bengal,North,BigMart,Aloo Bhujia Wafers,Outbound,169,7.57,1279.49,201.87,-169,187,930,NO
2024-01-16 01:39:22.792558511,2024,Jaipur,Rajasthan,South,SuperStore,Mint Masala Wafers,Inbound,98,9.79,959.87,129.05,98,269,215,YES
2024-01-16 03:59:22.552510502,2024,Ahmedabad,Gujarat,South,SuperStore,Cheese Wafers,Outbound,75,8.67,650.46,164.21,-75,162,367,NO
2024-01-16 06:19:22.312462492,2024,Mumbai,Maharashtra,North,SuperStore,Black Pepper Wafers,Outbound,21,14.14,296.9,88.48,-21,188,116,YES
2024-01-16 08:39:22.072414483,2024,Hyderabad,Telangana,South,RetailMart,Cream & Onion Wafers,Inbound,177,8.68,1536.88,392.76,177,288,178,YES
2024-01-16 10:59:21.832366473,2024,Chennai,Tamil Nadu,South,QuickBuy,Cheese Wafers,Outbound,82,8.73,716.22,114.01,-82,289,245,YES
2024-01-16 13:19:21.592318463,2024,Delhi,Delhi,North,SuperStore,Cream & Onion Wafers,Return,85,8.84,751.0,111.87,85,486,127,YES
2024-01-16 15:39:21.352270454,2024,Chennai,Tamil Nadu,East,ShopEase,Tomato Wafers,Outbound,99,13.37,1323.25,189.93,-99,188,357,NO
2024-01-16 17:59:21.112222444,2024,Kolkata,West Bengal,West,ShopEase,Salted Wafers,Outbound,19,11.51,218.65,27.84,-19,447,77,YES
2024-01-16 20:19:20.872174435,2024,Pune,Maharashtra,East,BigMart,Cheese Wafers,Inbound,105,11.14,1169.88,245.99,105,431,740,NO
2024-01-16 22:39:20.632126425,2024,Ahmedabad,Gujarat,West,RetailMart,Masala Wafers,Inbound,185,8.34,1543.16,341.16,185,125,292,NO
2024-01-17 00:59:20.392078415,2024,Ahmedabad,Gujarat,North,ShopEase,Chilli Wafers,Outbound,29,13.18,382.19,92.15,-29,275,773,NO
2024-01-17 03:19:20.152030406,2024,Hyderabad,Telangana,East,ShopEase,Cheese Wafers,Inbound,48,5.38,258.41,61.0,48,463,81,YES
2024-01-17 05:39:19.911982396,2024,Pune,Maharashtra,East,BigMart,Masala Wafers,Return,69,13.71,945.85,149.89,69,363,341,YES
2024-01-17 07:59:19.671934387,2024,Bangalore,Karnataka,West,BigMart,Mint Masala Wafers,Inbound,75,10.13,759.56,126.13,75,488,337,YES
2024-01-17 10:19:19.431886377,2024,Surat,Gujarat,West,QuickBuy,Cheese Wafers,Outbound,74,8.98,664.71,157.07,-74,494,818,NO
2024-01-17 12:39:19.191838367,2024,Mumbai,Maharashtra,West,QuickBuy,Masala Wafers,Inbound,188,9.97,1874.67,318.49,188,141,577,NO
2024-01-17 14:59:18.951790358,2024,Ahmedabad,Gujarat,West,QuickBuy,Salted Wafers,Inbound,133,11.67,1552.66,221.29,133,218,95,YES
2024-01-17 17:19:18.711742348,2024,Jaipur,Rajasthan,South,ShopEase,Masala Wafers,Outbound,173,5.13,887.08,155.12,-173,268,144,YES
2024-01-17 19:39:18.471694339,2024,Ahmedabad,Gujarat,North,BigMart,Salted Wafers,Inbound,161,13.72,2208.2,340.98,161,207,576,NO
